"id","name","isTraded","trueOdds","formatDecimal","formatAmerican","status"
"b0b422e7-41a6-33ab-926a-c0e6e1c1c14c","Friedrichsen, Sebastian","False","830.0","830.0","82900","ONGOING"
"8643277c-649d-315f-a2ac-7306b0d8a766","Luo, Xue-Wen","False","1000.0","1000.0","99900","ONGOING"
"8fa38af5-9920-313a-9a0e-8315dd7123d3","Blixt, Jonas","False","1000.0","1000.0","99900","ONGOING"
"22d9bbd6-fa56-30b5-8a5e-c49af3717783","Cao, Senshou","False","1000.0","1000.0","99900","ONGOING"
"ee265174-8650-3f5e-99db-caf8c9e2a616","Jian, Chuan-Lin","False","1000.0","1000.0","99900","ONGOING"
"d6dcc050-a5ef-3d86-836e-6b54ac84a75e","Jin, Daxing","False","1000.0","1000.0","99900","ONGOING"
"49300472-6e2f-3cf2-97be-0fc93626aea6","Shao, Minghao","False","1000.0","1000.0","99900","ONGOING"
"2d1c6fd5-0cf7-3f8d-b929-d98dc1f9e84b","Huang, Zijie","False","1000.0","1000.0","99900","ONGOING"
"2de8482f-5142-3f22-b761-447e1406fa3e","Huang, Wen-Yi","False","1000.0","1000.0","99900","ONGOING"
"782f2773-b069-3301-b1ee-e12b814225c2","Shen, Nan-Nan","False","1000.0","1000.0","99900","ONGOING"
"bd5c1a9f-4422-38dc-b07a-9c2270f594c0","She, Zi-Han","False","1000.0","1000.0","99900","ONGOING"
"2a0de91b-d21c-33aa-be9f-94cd9ba492be","Lin, Kuan-Po","False","1000.0","1000.0","99900","ONGOING"
"f36488a9-6055-366a-94ec-4a4cafea74d1","Ye, Jian-Feng","False","1000.0","1000.0","99900","ONGOING"
"af93a968-c6c7-339e-b9f5-b9dd7638e310","Ting, Lawrence","False","1000.0","1000.0","99900","ONGOING"
"820f5a65-3a4b-372d-8eba-6930cad1aa84","Bai, Zheng-Kai ","True","4.5","4.5","350","ONGOING"
"6da8fb39-00d1-30d3-9bae-dd6867d9f258","Tie","True","1.649350649","1.64","-154","ONGOING"
"faf89446-ee2d-3ebb-bf20-06b4bcb43198","De Jager, Louis","True","3.7","3.7","270","ONGOING"
"7005471a-d781-3c6c-9134-51bde95db008","Bai, Zheng-Kai ","True","4.85","4.85","385","ONGOING"
"76ebd2c4-cfb8-3eab-add3-eb009c6bb6b1","Tie","True","1.649350649","1.64","-154","ONGOING"
"8cb97eda-9676-3601-9daa-0ff89d1e16f2","Wiesberger, Bernd","True","3.5","3.5","250","ONGOING"
"4b8599ac-4d0d-3e5d-989b-5e097325cafe","Wiesberger, Bernd ","True","3.9","3.9","290","ONGOING"
"c500ecbb-51f8-3533-8529-c7acf876e776","Tie","True","1.598802395","1.59","-167","ONGOING"
"d6aed734-54fa-336e-a4d9-dc5fdb3861d0","De Jager, Louis","True","4.4","4.4","340","ONGOING"
"6704d8ab-84f1-3308-9275-e4929c904593","Bai, Zheng-Kai","True","2.95","2.95","195","ONGOING"
"15349513-dec2-3edd-aa8e-dda1ffee70ce","Wiesberger, Bernd","True","2.55","2.55","155","ONGOING"
"e5dd40fc-00d8-3cfd-821e-f6de5c95df30","De Jager, Louis","True","2.7","2.7","170","ONGOING"
"f13ac23c-5abc-3553-8a77-1f0adf5f89b2"," Bai, Zheng-Kai ","True","3.45","3.45","245","ONGOING"
"1cd029dc-8962-39fe-af10-cadd2b797629","Tie","True","2.3","2.3","130","ONGOING"
"42fab0ee-3e20-3418-ac00-c7eebdf660e4"," De Jager, Louis ","True","2.7","2.7","170","ONGOING"
"4de9ebcf-b3c5-38a0-8048-6cf1d571c364"," Bai, Zheng-Kai ","True","3.75","3.75","275","ONGOING"
"d3a561a6-3b21-30b7-a712-885d3c8d62f9","Tie","True","2.3","2.3","130","ONGOING"
"b1bda6c3-3881-3c8c-9f1a-82b11729c750"," Wiesberger, Bernd ","True","2.5","2.5","150","ONGOING"
"9fbfd07d-fe63-3fad-96bd-63e8fff2bf00"," Wiesberger, Bernd ","True","2.75","2.75","175","ONGOING"
"d5267b5b-e37d-3c24-99fe-04c90207f9a4","Tie","True","2.35","2.35","135","ONGOING"
"29afd924-2b8f-3227-b51e-8f0ac31eaf51"," De Jager, Louis ","True","3.25","3.25","225","ONGOING"
"50580609-da7c-32b5-a189-486749f8c93b"," Bai, Zheng-Kai ","True","3.4","3.4","240","ONGOING"
"9cdbffe0-0189-3910-9b2f-3578ed96fddf","Tie","True","1.699300699","1.69","-143","ONGOING"
"77b296f9-765a-3a91-862d-9bce9eccaa01"," De Jager, Louis ","True","4.55","4.55","355","ONGOING"
"6dd6064c-d301-385c-8b91-0f9002f57fae"," Bai, Zheng-Kai ","True","3.25","3.25","225","ONGOING"
"fb86445d-33f6-3ca1-9710-3caac03f1428","Tie","True","1.649350649","1.64","-154","ONGOING"
"0d945e47-7c18-3580-a6d7-fc0f744aed78"," Wiesberger, Bernd ","True","5.25","5.25","425","ONGOING"
"c403aadc-e82c-3c10-8e90-e369bc7b7c5a"," Wiesberger, Bernd ","True","4.8","4.8","380","ONGOING"
"285e5634-8e5a-329f-9a21-a2de36f4854d","Tie","True","1.549450549","1.54","-182","ONGOING"
"fb0c658e-1561-3d67-a891-1d7c312b245b"," De Jager, Louis ","True","4.0","4.0","300","ONGOING"
"1a546f0a-039d-384e-8600-9ec222d629ec"," Bai, Zheng-Kai ","True","2.65","2.65","165","ONGOING"
"5d90d2aa-d00a-3e72-8da5-cea5dca5d343","Tie","True","2.65","2.65","165","ONGOING"
"4a85598c-d81f-3a6a-a164-72bc5eba9ab2"," De Jager, Louis ","True","2.9","2.9","190","ONGOING"
"02466419-ddb4-3497-b952-264b29d01672"," Bai, Zheng-Kai ","True","2.55","2.55","155","ONGOING"
"f08812df-81cc-3bd6-b5c3-7027519beed6","Tie","True","2.65","2.65","165","ONGOING"
"e847bfac-72c6-31ff-9a5d-8edaad291919"," Wiesberger, Bernd ","True","3.0","3.0","200","ONGOING"
"ea73118c-f6bb-3f98-9a5f-0368eb660534"," Wiesberger, Bernd ","True","2.9","2.9","190","ONGOING"
"86bc07dc-a34f-33ec-8c10-81e32d70b951","Tie","True","2.6","2.6","160","ONGOING"
"9a8229d8-e50d-39c3-bdef-b1d2070473f5"," De Jager, Louis ","True","2.7","2.7","170","ONGOING"
"c1de0bfe-ca32-3737-8353-c2e00be52455","Bai, Zheng-Kai","True","3.5","3.5","250","ONGOING"
"0b3aa8c8-aa31-365c-b705-affc02281657","Wiesberger, Bernd","True","2.25","2.25","125","ONGOING"
"40306cc4-f2bb-373a-aadf-7fd3af4fc999","De Jager, Louis","True","2.65","2.65","165","ONGOING"
"f25841ca-3f86-3594-a63c-3d357a8e6af4","Bai, Zheng-Kai","True","3.2","3.2","220","ONGOING"
"ff18388a-1e6d-3336-becb-58fefa04549a","Wiesberger, Bernd","True","2.4","2.4","140","ONGOING"
"4a4fa581-c4cb-3d28-97e0-c84d0526fd66","De Jager, Louis","True","2.7","2.7","170","ONGOING"
"08ac70e5-ffd5-3258-b74b-849205771cf3","Bai, Zheng-Kai","True","2.55","2.55","155","ONGOING"
"9ecad88e-4e27-3e47-bbdb-4ceeb951479b","Wiesberger, Bernd","True","2.9","2.9","190","ONGOING"
"b669dd31-6d9e-3270-84b4-8b1053f5ff9c","De Jager, Louis","True","2.75","2.75","175","ONGOING"
"a9b612d0-efb7-30a4-9465-b0bf639e1005","Lombard, Zander ","True","3.55","3.55","255","ONGOING"
"1504ea45-b549-3220-927a-162e6c070dc7","Tie","True","1.952380952","1.95","-105","ONGOING"
"9cebe419-d95c-3966-8198-1d2ef1ea7100","Soderberg, Sebastian","True","3.25","3.25","225","ONGOING"
"195e5341-2d62-37a5-b371-c0cf0a3a01c5","Lombard, Zander ","True","3.25","3.25","225","ONGOING"
"88b5a9c4-fa7c-36ef-9e56-38d9492d26d5","Tie","True","1.952380952","1.95","-105","ONGOING"
"37853820-b57e-37aa-bbd0-d6af23e27ae6","Wu, Ashun","True","3.55","3.55","255","ONGOING"
"ba5b379e-be7c-3d5f-965e-ebc407c03688","Wu, Ashun ","True","3.7","3.7","270","ONGOING"
"8420656c-9163-3322-af5c-e76cb4c79026","Tie","True","1.952380952","1.95","-105","ONGOING"
"e22d8745-0cd1-3df8-94e4-b8fbe6da1582","Soderberg, Sebastian","True","3.15","3.15","215","ONGOING"
"e5e00d8f-dfed-379c-85f4-5a4932df7da6","Lombard, Zander","True","2.75","2.75","175","ONGOING"
"a827cce6-56df-3cee-a73c-74b13e8eedfa","Wu, Ashun","True","2.85","2.85","185","ONGOING"
"6ea6dae5-ba90-3af3-8584-b05f0d54161b","Soderberg, Sebastian","True","2.6","2.6","160","ONGOING"
"fdc0479c-f10a-3a48-95d2-fc31d2e2aa8a"," Lombard, Zander ","True","3.15","3.15","215","ONGOING"
"f1502497-8c2c-3e9d-8724-ba49a461c560","Tie","True","2.3","2.3","130","ONGOING"
"2e81eb94-bf95-385d-980e-23d34abb2802"," Soderberg, Sebastian ","True","2.85","2.85","185","ONGOING"
"22c142a8-7917-356e-b176-843517552273"," Lombard, Zander ","True","2.9","2.9","190","ONGOING"
"ba787f84-c79c-3d49-b3d1-0f22f8e341f9","Tie","True","2.3","2.3","130","ONGOING"
"4f998160-ac6f-3120-925b-f7416c2ca617"," Wu, Ashun ","True","3.2","3.2","220","ONGOING"
"557c05e5-dc31-3a2d-ae0e-68317f6cd347"," Wu, Ashun ","True","3.35","3.35","235","ONGOING"
